class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
stand,0.566144526,0.173662394,-0.327223241,0.999996901,0.572899938,0.154029235,-0.311016411,0.999987364,0.577741921,0.153611571,-0.311061203,0.99998343,0.581783533,0.153341427,-0.311126441,0.999984622,0.558625996,0.156667739,-0.312322706,0.99998796,0.553934097,0.157860845,-0.312357664,0.999985099,0.550747454,0.159142494,-0.31240961,0.999986172,0.588301897,0.159971952,-0.195522189,0.999982953,0.546848655,0.168719321,-0.199956581,0.999976397,0.577600896,0.189629316,-0.281702012,0.999997139,0.558742046,0.191789329,-0.283054173,0.999996781,0.635750651,0.261199147,-0.114755318,0.99998939,0.509981811,0.274913251,-0.124465026,0.999980688,0.680415273,0.368169427,-0.065696552,0.994711757,0.484422773,0.384191066,-0.084826075,0.98327291,0.732581556,0.455916882,-0.159674436,0.987623692,0.464978635,0.485262066,-0.181717157,0.973245263,0.746733844,0.487031668,-0.181598738,0.973366082,0.460040152,0.520619035,-0.206376031,0.950952947,0.741619945,0.488890737,-0.222691253,0.976140082,0.465536118,0.519726574,-0.248374075,0.956340969,0.736345887,0.47816211,-0.177729681,0.974917769,0.46779567,0.508669078,-0.200456768,0.953461409,0.62665534,0.498784095,-0.002239227,0.999703944,0.556492209,0.509808183,0.002150158,0.999792516,0.655106366,0.663876414,-0.059746575,0.991441488,0.555786848,0.679626107,-0.044137742,0.989612281,0.636981547,0.780159533,0.223697037,0.974732101,0.564345241,0.82946372,0.185875982,0.989441037,0.629326582,0.79119873,0.244920224,0.747091532,0.569421172,0.847227275,0.20210509,0.869018435,0.655417562,0.860316873,0.125884652,0.965603828,0.552597821,0.887736917,0.072032198,0.981531024
stand,0.566160917,0.179149553,-0.420258611,0.999996722,0.57291168,0.159029692,-0.401282966,0.999986887,0.577662647,0.158258602,-0.401313245,0.999983013,0.58178246,0.157553211,-0.401337445,0.999983847,0.558595657,0.161359608,-0.401532948,0.999987423,0.553834558,0.162116557,-0.401586622,0.999984622,0.550501764,0.162893146,-0.40161404,0.999985456,0.588682413,0.161666736,-0.254559964,0.999981761,0.546626687,0.169551983,-0.257747293,0.999975622,0.577548504,0.193806067,-0.362798929,0.999996841,0.55904144,0.196541324,-0.36370194,0.999996543,0.635747254,0.261146575,-0.135969728,0.999988198,0.510523677,0.274351567,-0.148258716,0.999980152,0.678088725,0.368086219,-0.066612348,0.994690299,0.484591812,0.38435021,-0.093601182,0.98385483,0.725210309,0.456777632,-0.19452855,0.9878425,0.464512169,0.48526457,-0.226113155,0.973788142,0.738254905,0.488708913,-0.22974214,0.973486722,0.459536642,0.520887196,-0.265537947,0.951368511,0.734152079,0.489586204,-0.279719502,0.976234972,0.465078115,0.519726992,-0.314981401,0.956709921,0.728480637,0.478990495,-0.217448071,0.9747594,0.467558146,0.508063138,-0.24998641,0.953667045,0.627040982,0.505964637,0.003247109,0.999708116,0.556773126,0.513347507,-0.003210333,0.999794662,0.653880358,0.670622826,0.012455234,0.991777241,0.55598408,0.680112064,0.001627676,0.990339816,0.631829679,0.782779694,0.333571166,0.975821257,0.56348449,0.828591287,0.259157866,0.990000188,0.623365521,0.794095159,0.357283324,0.764125943,0.569081664,0.846033454,0.275338441,0.874734104,0.652017713,0.857870519,0.220148563,0.967271268,0.550881565,0.887644649,0.114770114,0.982432067
stand,0.567342818,0.180809155,-0.445499271,0.999996245,0.573756039,0.160838231,-0.428218454,0.999984741,0.57836473,0.159920916,-0.42821607,0.999980986,0.582859039,0.159108952,-0.428213984,0.999981225,0.559888661,0.163130656,-0.428275436,0.999985516,0.554990172,0.163786367,-0.428341776,0.999982834,0.551198602,0.1644952,-0.428367794,0.999983311,0.590433598,0.162558854,-0.28738603,0.99997741,0.547439218,0.170078218,-0.28979671,0.999971569,0.578048348,0.195002854,-0.389912337,0.999995589,0.560993552,0.1977873,-0.390629381,0.999995351,0.636250079,0.261148989,-0.169490188,0.999985933,0.512501597,0.274178118,-0.173940986,0.999979615,0.674871802,0.368336797,-0.092164688,0.994584262,0.485677153,0.38436082,-0.103330672,0.984348893,0.715628982,0.458453745,-0.212001488,0.987561107,0.464702278,0.485210866,-0.218953773,0.974379957,0.727508187,0.491007715,-0.243086815,0.972421825,0.459550858,0.520885289,-0.252899587,0.951714873,0.723204315,0.49101162,-0.290472686,0.975287497,0.465050787,0.519581556,-0.301473558,0.957028866,0.717759252,0.480358571,-0.233323336,0.973460495,0.467569113,0.50734216,-0.241760969,0.953784466,0.627011895,0.506029904,0.003127693,0.999707282,0.557143986,0.513260245,-0.003117182,0.999793887,0.640345693,0.659680188,0.009997886,0.991923153,0.556682885,0.674770713,0.01030133,0.990853667,0.625718415,0.787290394,0.284477025,0.977277339,0.563307762,0.827932596,0.244543761,0.990505219,0.61731714,0.803668082,0.305655837,0.779919565,0.56920737,0.844852388,0.258111179,0.879771471,0.643665016,0.857661843,0.212387949,0.969381809,0.549354076,0.887073338,0.102751769,0.983359516
stand,0.573603928,0.182053864,-0.441865861,0.99999553,0.579781234,0.162642241,-0.42637381,0.999981999,0.584260166,0.161721632,-0.426372439,0.99997884,0.589139402,0.160696119,-0.42635417,0.999978602,0.567319095,0.164645717,-0.424315512,0.999982595,0.562793434,0.165231526,-0.424369901,0.999980092,0.558593452,0.165780142,-0.424387217,0.999979973,0.599446893,0.164536521,-0.293946832,0.999972463,0.55556339,0.1709539,-0.287319154,0.999965072,0.582923532,0.196142539,-0.389579535,0.999994218,0.568339288,0.198593989,-0.387672275,0.999993563,0.643843055,0.263321191,-0.182295412,0.999982834,0.522820652,0.27342996,-0.164250001,0.999978244,0.674279332,0.375739008,-0.097283982,0.994554043,0.49496907,0.383436501,-0.074022993,0.984061003,0.705895364,0.473207444,-0.197011173,0.987317324,0.47180146,0.483266383,-0.175968245,0.97375679,0.713411808,0.509445608,-0.224443033,0.97137624,0.466477454,0.518615782,-0.203904912,0.950201988,0.707794309,0.509214222,-0.269445986,0.974283099,0.470447719,0.517247319,-0.2562204,0.955590427,0.704422474,0.499763429,-0.216866404,0.971943378,0.473408282,0.504504204,-0.199729443,0.952073455,0.626598716,0.507231355,-0.000896471,0.999696612,0.557615638,0.512936056,0.000875235,0.999792516,0.623602867,0.662276566,0.063275002,0.991864026,0.558516145,0.674462974,0.016632408,0.991366267,0.620831668,0.807471395,0.271532863,0.978883386,0.56369698,0.82795161,0.210819885,0.990957081,0.613880754,0.82795608,0.293463349,0.795620799,0.570943713,0.84485513,0.214253157,0.884681165,0.638163209,0.859657347,0.151487291,0.971517265,0.54929173,0.886825442,0.051458508,0.984247088
stand,0.581257284,0.182671458,-0.465290964,0.999995053,0.587337911,0.163865879,-0.450070053,0.99998033,0.591650963,0.162978545,-0.45006305,0.999977767,0.596588492,0.161863878,-0.450045496,0.999977171,0.575453281,0.166060939,-0.447024763,0.999980509,0.571107984,0.166771874,-0.447091639,0.999978304,0.566951394,0.167520449,-0.44710511,0.999977767,0.607625902,0.166539446,-0.317336172,0.999969423,0.564602256,0.173120096,-0.306384623,0.999961019,0.590498984,0.196857408,-0.41316852,0.999993443,0.57697773,0.199214771,-0.409994215,0.99999243,0.652646601,0.267124921,-0.201360106,0.999981046,0.530919075,0.273447871,-0.178207368,0.999977589,0.675079942,0.38317883,-0.111325406,0.994596899,0.502893567,0.383818358,-0.075473629,0.984179735,0.70111233,0.483836055,-0.199170083,0.987225294,0.478268623,0.483292073,-0.170636907,0.973483503,0.706115961,0.521010637,-0.224301979,0.970463455,0.472450882,0.518645585,-0.197517961,0.949166834,0.700664401,0.519958556,-0.269263595,0.973384202,0.475567579,0.517250001,-0.247925907,0.954541683,0.697804451,0.510467708,-0.217852354,0.970539927,0.478932619,0.504598796,-0.193409547,0.950689733,0.626659691,0.509083271,-0.000759427,0.999693692,0.558663845,0.512501895,0.000723461,0.999795079,0.621975064,0.665584445,0.065785214,0.991817474,0.559075296,0.673665762,0.003951683,0.991907835,0.618422151,0.814407885,0.277383864,0.980321586,0.564174175,0.827466428,0.193628594,0.99137795,0.612500787,0.833435476,0.291263849,0.810260713,0.572480559,0.843430161,0.199490681,0.88793689,0.637046814,0.862361014,0.147456989,0.97345984,0.549346864,0.886872828,0.033916049,0.98507148
stand,0.588416636,0.184564397,-0.447290093,0.99999404,0.594815075,0.166276276,-0.431739986,0.999976099,0.599374115,0.165551037,-0.431732357,0.999974251,0.604038537,0.164734468,-0.431708872,0.999972999,0.582989752,0.168292671,-0.428980917,0.999976218,0.578648448,0.169006869,-0.429045498,0.99997437,0.574530482,0.169790193,-0.429064929,0.999973297,0.615481317,0.1703832,-0.300545305,0.999961793,0.572358012,0.175653726,-0.290162444,0.999953628,0.597319901,0.198990822,-0.395697087,0.999991775,0.583264053,0.200741023,-0.39269501,0.999990404,0.657927513,0.271657109,-0.189587593,0.999979138,0.537341893,0.273422569,-0.168484688,0.99997741,0.676707685,0.384722084,-0.106968582,0.994546175,0.510600686,0.383369237,-0.056258131,0.983759522,0.698227525,0.485704243,-0.194895893,0.986716866,0.482979298,0.480628312,-0.137974173,0.972510338,0.701784551,0.524248838,-0.219518825,0.968769789,0.475778013,0.516074061,-0.164790601,0.947164476,0.696248591,0.522853613,-0.263666093,0.971692145,0.478404194,0.514414728,-0.213607311,0.952606082,0.693262875,0.512468696,-0.213099569,0.968081713,0.4824211,0.501831234,-0.16011706,0.948402345,0.626641452,0.510033607,-0.000954452,0.999693155,0.55878216,0.511251628,0.000913117,0.999803364,0.621842623,0.662487864,0.073468849,0.991738081,0.551518798,0.660909116,-0.045622472,0.992466986,0.617232442,0.81131953,0.290928185,0.981582284,0.563670754,0.817874014,0.15233396,0.991806984,0.611306369,0.829680502,0.303171813,0.82147634,0.572395146,0.834340394,0.161475122,0.892029524,0.633636892,0.862313211,0.148692235,0.975138724,0.550069273,0.885861337,-0.006206977,0.985906124
stand,0.594287932,0.184862465,-0.462337643,0.999993145,0.601293385,0.167099997,-0.445009559,0.999972105,0.606123745,0.166537032,-0.445004284,0.999970734,0.610473037,0.166145131,-0.444977343,0.999968648,0.588931203,0.168663979,-0.443274647,0.99997282,0.584481359,0.169314668,-0.443344206,0.999971449,0.580071092,0.169955552,-0.443374962,0.999970078,0.621197581,0.172070891,-0.306145996,0.999950707,0.577551305,0.175957784,-0.300483286,0.999949336,0.602658093,0.200053558,-0.407851875,0.999989808,0.588133454,0.201236904,-0.406282097,0.999988794,0.661853671,0.276374966,-0.190492958,0.999978065,0.540927887,0.272283107,-0.178445235,0.999978304,0.678747535,0.387101591,-0.113643669,0.994216383,0.513595819,0.38229093,-0.081808053,0.983715594,0.698212028,0.485650986,-0.21505399,0.985358298,0.486613691,0.478751749,-0.189301699,0.971758366,0.702020586,0.523153305,-0.241565272,0.965281069,0.479042858,0.513496876,-0.223877877,0.945339322,0.697210073,0.521482468,-0.280148,0.968321681,0.482751757,0.512577713,-0.269724369,0.950796306,0.69418323,0.510972559,-0.231375128,0.96357429,0.487855256,0.500638366,-0.21091041,0.945913315,0.626585603,0.511236012,-0.00090856,0.999697864,0.55877316,0.509065092,0.000856886,0.999814093,0.622420192,0.654976189,0.077682152,0.990971863,0.543354213,0.644882321,-0.123138107,0.992938995,0.616700292,0.808097124,0.32255441,0.982393265,0.561250508,0.793445706,0.112307727,0.991945267,0.611122429,0.825778663,0.337462872,0.828995049,0.570386171,0.811004758,0.126638532,0.893158615,0.632895112,0.861335158,0.177025363,0.976221323,0.550450444,0.867637634,-0.041047469,0.986457884
stand,0.595045686,0.184606552,-0.465502411,0.999992371,0.603119075,0.16694662,-0.448578984,0.999967873,0.607460201,0.166475162,-0.448592424,0.999967039,0.612112164,0.166141048,-0.448571861,0.99996388,0.589871526,0.168454751,-0.446649224,0.999969125,0.585369349,0.169088513,-0.446721077,0.999968231,0.581552148,0.169723541,-0.446754456,0.999966443,0.621996343,0.172106594,-0.310414404,0.999939561,0.579603612,0.175804526,-0.303207666,0.999944806,0.604526877,0.19993256,-0.411153555,0.999987781,0.589280188,0.20104067,-0.409102738,0.999987185,0.662341833,0.275484622,-0.198066592,0.999978065,0.542007089,0.270135343,-0.181069523,0.999979079,0.682281315,0.385946572,-0.137892962,0.994084477,0.513461709,0.380965859,-0.096143752,0.983849049,0.701566577,0.48316437,-0.264907092,0.984706938,0.487400919,0.477267623,-0.210575223,0.971932948,0.70752418,0.519294977,-0.297171354,0.963338196,0.480168819,0.511830568,-0.245956853,0.945127904,0.702737689,0.51817131,-0.336152732,0.966533005,0.484850109,0.511045277,-0.290757388,0.950510144,0.699219346,0.507712007,-0.282579213,0.961154759,0.490440369,0.499694943,-0.231690437,0.94522661,0.625787318,0.51124233,-0.002145078,0.999701262,0.558359504,0.505952597,0.002064868,0.999820888,0.620507956,0.654879391,0.057115547,0.989985943,0.536365986,0.640044093,-0.117483392,0.993307352,0.617499232,0.809077203,0.299868584,0.982917428,0.556262612,0.772669613,0.132358745,0.991839707,0.611590803,0.826936305,0.315734625,0.833888948,0.565698683,0.788599014,0.148205668,0.893273115,0.633455992,0.860296845,0.154798582,0.976900697,0.548576236,0.844548464,-0.011507584,0.986683071
stand,0.594332218,0.185720995,-0.480438292,0.999992251,0.602304339,0.167858109,-0.464566648,0.999966919,0.607342362,0.167373925,-0.464581013,0.999966502,0.611363471,0.16713731,-0.464577436,0.999962926,0.588172197,0.169093937,-0.463255078,0.999968231,0.584004998,0.169532761,-0.463339329,0.999967515,0.579789639,0.170054659,-0.463367373,0.999965012,0.620418847,0.172308207,-0.326916635,0.999937654,0.577750027,0.175752237,-0.3211959,0.999943912,0.604522586,0.200881794,-0.425831378,0.999987304,0.588219404,0.201503515,-0.424214989,0.99998647,0.661824763,0.274952054,-0.210919708,0.999977887,0.540318966,0.269707799,-0.199119002,0.99997884,0.686542153,0.385015458,-0.158796057,0.994116545,0.511458635,0.380241096,-0.111733176,0.984108031,0.707192063,0.482058257,-0.305220425,0.984188557,0.48521924,0.474245846,-0.219453782,0.972656727,0.713599384,0.517678916,-0.340495139,0.961677253,0.478275239,0.508818269,-0.252753019,0.94615829,0.711556792,0.517161965,-0.383108079,0.965137661,0.482989609,0.507658541,-0.300402105,0.951405764,0.707088828,0.506626785,-0.325132191,0.959595263,0.487936437,0.496149123,-0.24137032,0.945894957,0.623336136,0.510961235,-0.002772896,0.999705315,0.556003451,0.504511118,0.002684483,0.999814332,0.617117763,0.655497491,0.038720053,0.990002155,0.532681644,0.644697785,0.015950851,0.99359864,0.616596222,0.808721125,0.244770765,0.983794928,0.550218523,0.769360721,0.314181328,0.99171114,0.609963655,0.827043891,0.256817043,0.843888879,0.559071302,0.783561707,0.335021615,0.894643962,0.634409308,0.860081017,0.096107103,0.97803396,0.538000703,0.836301148,0.193708181,0.986566305
stand,0.592294335,0.1865298,-0.470336974,0.999992549,0.600276947,0.168725431,-0.453581095,0.999967754,0.605197787,0.16839096,-0.453596026,0.999967515,0.609706879,0.168152139,-0.453598022,0.99996388,0.586119533,0.16964601,-0.452816337,0.999969125,0.581702113,0.169994995,-0.45288983,0.999968529,0.577936471,0.170405716,-0.452903122,0.999965668,0.617864549,0.172984898,-0.317478031,0.999938667,0.575774729,0.175739586,-0.314962924,0.999945343,0.602327704,0.201677024,-0.416936308,0.999987364,0.5858531,0.201910526,-0.416218221,0.999986351,0.659843802,0.276266843,-0.205701977,0.999978185,0.538056135,0.269728541,-0.199329674,0.999979019,0.689753413,0.384170622,-0.145193785,0.994337857,0.511079133,0.380010426,-0.123388872,0.984128296,0.723335385,0.480285764,-0.273730159,0.984552979,0.478028595,0.474081427,-0.233036473,0.973297358,0.735291004,0.511453509,-0.306223363,0.961908996,0.46767363,0.506462693,-0.266721517,0.947057486,0.735000372,0.507784367,-0.351423949,0.965518832,0.471200705,0.505439937,-0.316100836,0.952228606,0.729204059,0.497581303,-0.294750273,0.960140109,0.476625443,0.495129466,-0.256226122,0.946645975,0.620274663,0.510779798,-0.004082739,0.999709427,0.553034008,0.503890753,0.00398108,0.999813616,0.615525126,0.655938864,0.048065864,0.989963174,0.533373713,0.640626252,0.036973897,0.993836522,0.616261959,0.808416963,0.245684072,0.984573185,0.541115582,0.775916874,0.306846172,0.991742134,0.608673513,0.82652986,0.256412953,0.853302658,0.551522374,0.793665051,0.3248851,0.897324324,0.635166168,0.859895647,0.103929713,0.979040205,0.527978539,0.840290844,0.18930985,0.986667275
